Country,Date,Confirmed,DayNum
Brazil,2020-03-13,151,1
Brazil,2020-03-14,151,2
Brazil,2020-03-15,162,3
Brazil,2020-03-16,200,4
Brazil,2020-03-17,321,5
Brazil,2020-03-18,372,6
Brazil,2020-03-19,621,7
Brazil,2020-03-20,793,8
Brazil,2020-03-21,1021,9
Brazil,2020-03-22,1546,10
Brazil,2020-03-23,1924,11
Brazil,2020-03-24,2247,12
Brazil,2020-03-25,2554,13
Brazil,2020-03-26,2985,14
Brazil,2020-03-27,3417,15
Brazil,2020-03-28,3904,16
Brazil,2020-03-29,4256,17
Brazil,2020-03-30,4579,18
Brazil,2020-03-31,5717,19
Canada,2020-03-11,108,1
Canada,2020-03-12,117,2
Canada,2020-03-13,193,3
Canada,2020-03-14,198,4
Canada,2020-03-15,252,5
Canada,2020-03-16,415,6
Canada,2020-03-17,478,7
Canada,2020-03-18,657,8
Canada,2020-03-19,800,9
Canada,2020-03-20,943,10
Canada,2020-03-21,1277,11
Canada,2020-03-22,1469,12
Canada,2020-03-23,2088,13
Canada,2020-03-24,2790,14
Canada,2020-03-25,3251,15
Canada,2020-03-26,4042,16
Canada,2020-03-27,4682,17
Canada,2020-03-28,5576,18
Canada,2020-03-29,6280,19
Canada,2020-03-30,7398,20
Canada,2020-03-31,8527,21
China,2020-01-22,548,1
China,2020-01-23,643,2
China,2020-01-24,920,3
China,2020-01-25,1406,4
China,2020-01-26,2075,5
China,2020-01-27,2877,6
China,2020-01-28,5509,7
China,2020-01-29,6087,8
China,2020-01-30,8141,9
China,2020-01-31,9802,10
China,2020-02-01,11891,11
China,2020-02-02,16630,12
China,2020-02-03,19716,13
China,2020-02-04,23707,14
China,2020-02-05,27440,15
China,2020-02-06,30587,16
China,2020-02-07,34110,17
China,2020-02-08,36814,18
China,2020-02-09,39829,19
China,2020-02-10,42354,20
China,2020-02-11,44386,21
China,2020-02-12,44759,22
China,2020-02-13,59895,23
China,2020-02-14,66358,24
China,2020-02-15,68413,25
China,2020-02-16,70513,26
China,2020-02-17,72434,27
China,2020-02-18,74211,28
China,2020-02-19,74619,29
China,2020-02-20,75077,30
China,2020-02-21,75550,31
China,2020-02-22,77001,32
China,2020-02-23,77022,33
China,2020-02-24,77241,34
China,2020-02-25,77754,35
China,2020-02-26,78166,36
China,2020-02-27,78600,37
China,2020-02-28,78928,38
China,2020-02-29,79356,39
China,2020-03-01,79932,40
China,2020-03-02,80136,41
China,2020-03-03,80261,42
China,2020-03-04,80386,43
China,2020-03-05,80537,44
China,2020-03-06,80690,45
China,2020-03-07,80770,46
China,2020-03-08,80823,47
China,2020-03-09,80860,48
China,2020-03-10,80887,49
China,2020-03-11,80921,50
China,2020-03-12,80932,51
China,2020-03-13,80945,52
China,2020-03-14,80977,53
China,2020-03-15,81003,54
China,2020-03-16,81033,55
China,2020-03-17,81058,56
China,2020-03-18,81102,57
China,2020-03-19,81156,58
China,2020-03-20,81250,59
China,2020-03-21,81305,60
China,2020-03-22,81435,61
China,2020-03-23,81498,62
China,2020-03-24,81591,63
China,2020-03-25,81661,64
China,2020-03-26,81782,65
China,2020-03-27,81897,66
China,2020-03-28,81999,67
China,2020-03-29,82122,68
China,2020-03-30,82198,69
China,2020-03-31,82279,70
India,2020-03-14,102,1
India,2020-03-15,113,2
India,2020-03-16,119,3
India,2020-03-17,142,4
India,2020-03-18,156,5
India,2020-03-19,194,6
India,2020-03-20,244,7
India,2020-03-21,330,8
India,2020-03-22,396,9
India,2020-03-23,499,10
India,2020-03-24,536,11
India,2020-03-25,657,12
India,2020-03-26,727,13
India,2020-03-27,887,14
India,2020-03-28,987,15
India,2020-03-29,1024,16
India,2020-03-30,1251,17
India,2020-03-31,1397,18
Iran,2020-02-26,139,1
Iran,2020-02-27,245,2
Iran,2020-02-28,388,3
Iran,2020-02-29,593,4
Iran,2020-03-01,978,5
Iran,2020-03-02,1501,6
Iran,2020-03-03,2336,7
Iran,2020-03-04,2922,8
Iran,2020-03-05,3513,9
Iran,2020-03-06,4747,10
Iran,2020-03-07,5823,11
Iran,2020-03-08,6566,12
Iran,2020-03-09,7161,13
Iran,2020-03-10,8042,14
Iran,2020-03-11,9000,15
Iran,2020-03-12,10075,16
Iran,2020-03-13,11364,17
Iran,2020-03-14,12729,18
Iran,2020-03-15,13938,19
Iran,2020-03-16,14991,20
Iran,2020-03-17,16169,21
Iran,2020-03-18,17361,22
Iran,2020-03-19,18407,23
Iran,2020-03-20,19644,24
Iran,2020-03-21,20610,25
Iran,2020-03-22,21638,26
Iran,2020-03-23,23049,27
Iran,2020-03-24,24811,28
Iran,2020-03-25,27017,29
Iran,2020-03-26,29406,30
Iran,2020-03-27,32332,31
Iran,2020-03-28,35408,32
Iran,2020-03-29,38309,33
Iran,2020-03-30,41495,34
Iran,2020-03-31,44605,35
Mexico,2020-03-19,118,1
Mexico,2020-03-20,164,2
Mexico,2020-03-21,203,3
Mexico,2020-03-22,251,4
Mexico,2020-03-23,316,5
Mexico,2020-03-24,367,6
Mexico,2020-03-25,405,7
Mexico,2020-03-26,475,8
Mexico,2020-03-27,585,9
Mexico,2020-03-28,717,10
Mexico,2020-03-29,848,11
Mexico,2020-03-30,993,12
Mexico,2020-03-31,1094,13
Spain,2020-03-02,120,1
Spain,2020-03-03,165,2
Spain,2020-03-04,222,3
Spain,2020-03-05,259,4
Spain,2020-03-06,400,5
Spain,2020-03-07,500,6
Spain,2020-03-08,673,7
Spain,2020-03-09,1073,8
Spain,2020-03-10,1695,9
Spain,2020-03-11,2277,10
Spain,2020-03-12,2277,11
Spain,2020-03-13,5232,12
Spain,2020-03-14,6391,13
Spain,2020-03-15,7798,14
Spain,2020-03-16,9942,15
Spain,2020-03-17,11748,16
Spain,2020-03-18,13910,17
Spain,2020-03-19,17963,18
Spain,2020-03-20,20410,19
Spain,2020-03-21,25374,20
Spain,2020-03-22,28768,21
Spain,2020-03-23,35136,22
Spain,2020-03-24,39885,23
Spain,2020-03-25,49515,24
Spain,2020-03-26,57786,25
Spain,2020-03-27,65719,26
Spain,2020-03-28,73235,27
Spain,2020-03-29,80110,28
Spain,2020-03-30,87956,29
Spain,2020-03-31,95923,30
US,2020-03-03,118,1
US,2020-03-04,149,2
US,2020-03-05,217,3
US,2020-03-06,262,4
US,2020-03-07,402,5
US,2020-03-08,518,6
US,2020-03-09,583,7
US,2020-03-10,959,8
US,2020-03-11,1281,9
US,2020-03-12,1663,10
US,2020-03-13,2179,11
US,2020-03-14,2727,12
US,2020-03-15,3499,13
US,2020-03-16,4632,14
US,2020-03-17,6421,15
US,2020-03-18,7783,16
US,2020-03-19,13677,17
US,2020-03-20,19100,18
US,2020-03-21,25489,19
US,2020-03-22,33276,20
US,2020-03-23,43847,21
US,2020-03-24,53740,22
US,2020-03-25,65778,23
US,2020-03-26,83836,24
US,2020-03-27,101657,25
US,2020-03-28,121478,26
US,2020-03-29,140886,27
US,2020-03-30,161807,28
US,2020-03-31,188172,29
